PCB Serial Number,Last Programmed,Comment,Files used
DC R4 61/22 EL2/RH 09,08-02-2023 16:40:23,"08-02-2023 16:40:23 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:40:23 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
TEST,13-03-2023 15:35:00,"13-03-2023 15:35:00 : 
13-03-2023 15:19:06 : 
13-03-2023 15:11:29 : 
13-03-2023 14:43:59 : 
13-03-2023 14:42:12 : 
13-03-2023 14:34:58 : 
13-03-2023 14:32:45 : 
08-02-2023 16:42:01 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed","13-03-2023 15:35:00 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
13-03-2023 15:19:06 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
13-03-2023 15:11:29 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
13-03-2023 14:43:59 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
13-03-2023 14:42:12 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
13-03-2023 14:34:58 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
13-03-2023 14:32:45 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
08-02-2023 16:42:01 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf"
DC R4 61/22 EL2/RH 07,08-02-2023 16:43:07,"08-02-2023 16:43:07 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:43:07 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 02,08-02-2023 16:43:59,"08-02-2023 16:43:59 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:43:59 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 08,08-02-2023 16:44:39,"08-02-2023 16:44:39 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:44:39 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 10,08-02-2023 16:45:41,"08-02-2023 16:45:41 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:45:41 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 05,08-02-2023 16:46:45,"08-02-2023 16:46:45 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:46:45 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 06,08-02-2023 16:47:28,"08-02-2023 16:47:28 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:47:28 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 03,08-02-2023 16:48:35,"08-02-2023 16:48:35 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:48:35 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 01,08-02-2023 16:49:34,"08-02-2023 16:49:34 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:49:34 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 04,08-02-2023 16:50:15,"08-02-2023 16:50:15 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:50:15 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
TEST_BATCH_09_03_2023,10-03-2023 10:49:20,"10-03-2023 10:49:20 : 1 of 2:Testing batch of 80 PCB's arrived yesterday
09-03-2023 17:03:13 : 2 of 2:Testing batch of 80 PCB's arrived today
09-03-2023 17:01:26 : TESTing batch of 80 PCB,s arrived today","10-03-2023 10:49:20 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
09-03-2023 17:03:13 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
09-03-2023 17:01:26 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf"
CHECK,14-03-2023 12:40:53,"14-03-2023 12:40:53 : 
14-03-2023 12:40:49 : ","14-03-2023 12:40:53 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
14-03-2023 12:40:49 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf"
