PCB Serial Number,Last Programmed,Comment,Files used
DC R4 61/22 EL2/RH 09,08-02-2023 16:40:23,"08-02-2023 16:40:23 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:40:23 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
TEST,08-02-2023 16:42:01,"08-02-2023 16:42:01 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:42:01 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 07,08-02-2023 16:43:07,"08-02-2023 16:43:07 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:43:07 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 02,08-02-2023 16:43:59,"08-02-2023 16:43:59 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:43:59 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 08,08-02-2023 16:44:39,"08-02-2023 16:44:39 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:44:39 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 10,08-02-2023 16:45:41,"08-02-2023 16:45:41 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:45:41 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 05,08-02-2023 16:46:45,"08-02-2023 16:46:45 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:46:45 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 06,08-02-2023 16:47:28,"08-02-2023 16:47:28 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:47:28 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 03,08-02-2023 16:48:35,"08-02-2023 16:48:35 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:48:35 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 01,08-02-2023 16:49:34,"08-02-2023 16:49:34 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:49:34 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
DC R4 61/22 EL2/RH 04,08-02-2023 16:50:15,"08-02-2023 16:50:15 : First Time programming PCB change: R66 chnaged with 60K, D3 & D4 Removed",08-02-2023 16:50:15 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\DC1000\DC1000_Rev2_E_01_4.elf
